metro,GCI type,country
Shanghai,Asian Anchor,China
Beijing,Asian Anchor,China
"Guangzhou, Guangdong",Emerging Gateways,China
Shenzhen,Emerging Gateways,China
Tianjin,Emerging Gateways,China
Chongqing,Emerging Gateways,China
"Foshan, Guangdong",Rising stars,China
"Wuhan, Hubei",Emerging Gateways,China
"Hangzhou, Zhejiang",Emerging Gateways,China
"Nanjing, Jiangsu",Emerging Gateways,China
"Shenyang, Liaoning",Rising stars,China
"Dongguan, Guangdong",Rising stars,China
"Chengdu, Sichuan",Rising stars,China
"Dalian, Liaoning",Rising stars,China
"Suzhou, Jiangsu",Rising stars,China
"Qingdao, Shandong",Rising stars,China
"Wuxi, Jiangsu",Rising stars,China
"Ningbo, Zhejiang",Emerging Gateways,China
"Jinan, Shandong",Emerging Gateways,China
"Xian, Shaanxi",Emerging Gateways,China
"Changsha, Hunan",Rising stars,China
"Daqing, Heilongjiang",Rising stars,China
"Harbin, Heilongjiang",Rising stars,China
"Changchun, Jilin",Rising stars,China
"Changzhou, Jiangsu",Rising stars,China
"Tangshan, Hebei",Rising stars,China
"Zibo, Shandong",Rising stars,China
"Hefei, Anhui",Rising stars,China
"Baotou, Inner Mongolia",Rising stars,China
"Xiamen, Fujian",Rising stars,China
"Zhongshan, Guangdong",Rising stars,China
"Yantai, Shandong",Rising stars,China
"Zhengzhou, Henan",Rising stars,China
"Taiyuan, Shanxi",Rising stars,China
"Dongying, Shandong",Rising stars,China
"Fuzhou, Fujian",Rising stars,China
"Xuzhou, Jiangsu",Rising stars,China
"Nanchang, Jiangxi",Rising stars,China
"Kunming, Yunnan",Rising stars,China
"Nantong, Jiangsu",Rising stars,China
"Hohhot, Inner Mongolia",Rising stars,China
"Nanning, Guangxi",Rising stars,China
"Urumqi, Xinjiang",Rising stars,China
"Wenzhou, Zhejiang",Rising stars,China
"Shijiazhuang, Hebei",Rising stars,China
"Zhuhai, Guangdong",Rising stars,China
"Huizhou, Guangdong",Rising stars,China
"Jilin, Jilin",Rising stars,China
"Yangzhou, Jiangsu",Rising stars,China
"Quanzhou, Fujian",Rising stars,China
"Weifang, Shandong",Rising stars,China
"Shaoxing, Zhejiang",Rising stars,China
"Erdos, Inner Mongolia",Rising stars,China
"Yancheng, Jiangsu",Rising stars,China
"Jining, Shandong",Rising stars,China
"Linyi, Shandong",Rising stars,China
"Taizhou, Zhejiang",Rising stars,China
"Taizhou, Jiangsu",Rising stars,China
"Jiaxing, Zhejiang",Rising stars,China
"Luoyang, Henan",Rising stars,China
"Zhenjiang, Jiangsu",Rising stars,China
"Jinhua, Zhejiang",Rising stars,China
"Yichang, Hubei",Rising stars,China
"Xiangfan, Hubei",Rising stars,China
"Cangzhou, Hebei",Rising stars,China
"Taian, Shandong",Rising stars,China
"Handan, Hebei",Rising stars,China
"Baoding, Hebei",Rising stars,China
"Guiyang, Guizhou",Rising stars,China
"Yulin, Shaanxi",Rising stars,China
"Weihai, Shandong",Rising stars,China
"Nanyang, Henan",Rising stars,China
"Yueyang, Hunan",Rising stars,China
"Zhangzhou, Fujian",Rising stars,China
"Dezhou, Shandong",Rising stars,China
"Huaian, Jiangsu",Rising stars,China
"Changde, Hunan",Rising stars,China
"Liaocheng, Shandong",Rising stars,China
"Hengyang, Hunan",Rising stars,China
"Wuhu, Anhui",Rising stars,China
"Maoming, Guangdong",Rising stars,China
"Zhanjiang, Guangdong",Rising stars,China
"Binzhou, Shandong",Rising stars,China
"Liuzhou, Guangxi",Rising stars,China
"Heze, Shandong",Rising stars,China
"Zhuzhou, Hunan",Rising stars,China
"Jiangmen, Guangdong",Rising stars,China
"Langfang, Hebei",Rising stars,China
"Xuchang, Henan",Rising stars,China
"Zunyi, Guizhou",Rising stars,China
"Lianyungang, Jiangsu",Rising stars,China
"Lanzhou, Gansu",Rising stars,China
"Huzhou, Zhejiang",Rising stars,China
"Suqian, Jiangsu",Rising stars,China
"Zhoukou, Henan",Rising stars,China
"Xianyang, Shaanxi",Rising stars,China
"Zaozhuang, Shandong",Rising stars,China
"Xinxiang, Henan",Rising stars,China
"Ganzhou, Jiangxi",Rising stars,China
"Zhaoqing, Guangdong",Rising stars,China
"Anyang, Henan",Rising stars,China
"Jiaozuo, Henan",Rising stars,China
"Chenzhou, Hunan",Rising stars,China
